ID,variable1,variable2,variable3,variable4,variable5
1,1,5.1,3.5,1.4,0.2
2,1,4.9,3,1.4,0.2
3,1,4.7,3.2,1.3,0.2
4,1,4.6,3.1,1.5,0.2
5,1,5,3.6,1.4,0.2
6,1,5.4,3.9,1.7,0.4
7,1,4.6,3.4,1.4,0.3
8,1,5,3.4,1.5,0.2
9,1,4.4,2.9,1.4,0.2
10,1,4.9,3.1,1.5,0.1
11,1,5.4,3.7,1.5,0.2
12,1,4.8,3.4,1.6,0.2
13,1,4.8,3,1.4,0.1
14,1,4.3,3,1.1,0.1
15,1,5.8,4,1.2,0.2
16,1,5.7,4.4,1.5,0.4
17,1,5.4,3.9,1.3,0.4
18,1,5.1,3.5,1.4,0.3
19,1,5.7,3.8,1.7,0.3
20,1,5.1,3.8,1.5,0.3
21,1,5.4,3.4,1.7,0.2
22,1,5.1,3.7,1.5,0.4
23,1,4.6,3.6,1,0.2
24,1,5.1,3.3,1.7,0.5
25,1,4.8,3.4,1.9,0.2
26,1,5,3,1.6,0.2
27,1,5,3.4,1.6,0.4
28,1,5.2,3.5,1.5,0.2
29,1,5.2,3.4,1.4,0.2
30,1,4.7,3.2,1.6,0.2
31,1,4.8,3.1,1.6,0.2
32,1,5.4,3.4,1.5,0.4
33,1,5.2,4.1,1.5,0.1
34,1,5.5,4.2,1.4,0.2
35,1,4.9,3.1,1.5,0.2
36,1,5,3.2,1.2,0.2
37,1,5.5,3.5,1.3,0.2
38,1,4.9,3.6,1.4,0.1
39,1,4.4,3,1.3,0.2
40,1,5.1,3.4,1.5,0.2
41,1,5,3.5,1.3,0.3
42,1,4.5,2.3,1.3,0.3
43,1,4.4,3.2,1.3,0.2
44,1,5,3.5,1.6,0.6
45,1,5.1,3.8,1.9,0.4
46,1,4.8,3,1.4,0.3
47,1,5.1,3.8,1.6,0.2
48,1,4.6,3.2,1.4,0.2
49,1,5.3,3.7,1.5,0.2
50,1,5,3.3,1.4,0.2
51,2,7,3.2,4.7,1.4
52,2,6.4,3.2,4.5,1.5
53,2,6.9,3.1,4.9,1.5
54,2,5.5,2.3,4,1.3
55,2,6.5,2.8,4.6,1.5
56,2,5.7,2.8,4.5,1.3
57,2,6.3,3.3,4.7,1.6
58,2,4.9,2.4,3.3,1
59,2,6.6,2.9,4.6,1.3
60,2,5.2,2.7,3.9,1.4
61,2,5,2,3.5,1
62,2,5.9,3,4.2,1.5
63,2,6,2.2,4,1
64,2,6.1,2.9,4.7,1.4
65,2,5.6,2.9,3.6,1.3
66,2,6.7,3.1,4.4,1.4
67,2,5.6,3,4.5,1.5
68,2,5.8,2.7,4.1,1
69,2,6.2,2.2,4.5,1.5
70,2,5.6,2.5,3.9,1.1
71,2,5.9,3.2,4.8,1.8
72,2,6.1,2.8,4,1.3
73,2,6.3,2.5,4.9,1.5
74,2,6.1,2.8,4.7,1.2
75,2,6.4,2.9,4.3,1.3
76,2,6.6,3,4.4,1.4
77,2,6.8,2.8,4.8,1.4
78,2,6.7,3,5,1.7
79,2,6,2.9,4.5,1.5
80,2,5.7,2.6,3.5,1
81,2,5.5,2.4,3.8,1.1
82,2,5.5,2.4,3.7,1
83,2,5.8,2.7,3.9,1.2
84,2,6,2.7,5.1,1.6
85,2,5.4,3,4.5,1.5
86,2,6,3.4,4.5,1.6
87,2,6.7,3.1,4.7,1.5
88,2,6.3,2.3,4.4,1.3
89,2,5.6,3,4.1,1.3
90,2,5.5,2.5,4,1.3
91,2,5.5,2.6,4.4,1.2
92,2,6.1,3,4.6,1.4
93,2,5.8,2.6,4,1.2
94,2,5,2.3,3.3,1
95,2,5.6,2.7,4.2,1.3
96,2,5.7,3,4.2,1.2
97,2,5.7,2.9,4.2,1.3
98,2,6.2,2.9,4.3,1.3
99,2,5.1,2.5,3,1.1
100,2,5.7,2.8,4.1,1.3
101,3,6.3,3.3,6,2.5
102,3,5.8,2.7,5.1,1.9
103,3,7.1,3,5.9,2.1
104,3,6.3,2.9,5.6,1.8
105,3,6.5,3,5.8,2.2
106,3,7.6,3,6.6,2.1
107,3,4.9,2.5,4.5,1.7
108,3,7.3,2.9,6.3,1.8
109,3,6.7,2.5,5.8,1.8
110,3,7.2,3.6,6.1,2.5
111,3,6.5,3.2,5.1,2
112,3,6.4,2.7,5.3,1.9
113,3,6.8,3,5.5,2.1
114,3,5.7,2.5,5,2
115,3,5.8,2.8,5.1,2.4
116,3,6.4,3.2,5.3,2.3
117,3,6.5,3,5.5,1.8
118,3,7.7,3.8,6.7,2.2
119,3,7.7,2.6,6.9,2.3
120,3,6,2.2,5,1.5
121,3,6.9,3.2,5.7,2.3
122,3,5.6,2.8,4.9,2
123,3,7.7,2.8,6.7,2
124,3,6.3,2.7,4.9,1.8
125,3,6.7,3.3,5.7,2.1
126,3,7.2,3.2,6,1.8
127,3,6.2,2.8,4.8,1.8
128,3,6.1,3,4.9,1.8
